candidate_id	candidate_class	component	component_value	weight	weighted_contribution	rank
T2C0013	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	17
T2C0013	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	17
T2C0013	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	17
T2C0013	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	17
T2C0013	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	17
T2C0013	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	17
T2C0012	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	18
T2C0012	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	18
T2C0012	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	18
T2C0012	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	18
T2C0012	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	18
T2C0012	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	18
T2C0012	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	18
T2C0005	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	19
T2C0005	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	19
T2C0005	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	19
T2C0005	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	19
T2C0005	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	19
T2C0005	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	19
T2C0005	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	19
T2C0027	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	20
T2C0027	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	20
T2C0027	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	20
T2C0027	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	20
T2C0027	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	20
T2C0027	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	20
T2C0027	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	20
T2C0020	north_american_temperate_megafauna_fruit	extinct_partner_support	1.0	0.25	0.25	21
T2C0020	north_american_temperate_megafauna_fruit	modern_failure_support	0.0	0.2	0.0	21
T2C0020	north_american_temperate_megafauna_fruit	morphology_support	1.0	0.25	0.25	21
T2C0020	north_american_temperate_megafauna_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	21
T2C0020	north_american_temperate_megafauna_fruit	penalty_source_singleton	1.0	-0.1	-0.1	21
T2C0020	north_american_temperate_megafauna_fruit	provenance_completeness	1.0	0.1	0.1	21
T2C0020	north_american_temperate_megafauna_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	21
T2C0029	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	22
T2C0029	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	22
T2C0029	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	22
T2C0029	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	22
T2C0029	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	22
T2C0029	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	22
T2C0029	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	22
T2C0022	amazonian_palm_or_ground_sloth_fruit	extinct_partner_support	1.0	0.25	0.25	23
T2C0022	amazonian_palm_or_ground_sloth_fruit	modern_failure_support	0.0	0.2	0.0	23
T2C0022	amazonian_palm_or_ground_sloth_fruit	morphology_support	1.0	0.25	0.25	23
T2C0022	amazonian_palm_or_ground_sloth_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	23
T2C0022	amazonian_palm_or_ground_sloth_fruit	penalty_source_singleton	1.0	-0.1	-0.1	23
T2C0022	amazonian_palm_or_ground_sloth_fruit	provenance_completeness	1.0	0.1	0.1	23
T2C0022	amazonian_palm_or_ground_sloth_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	23
T2C0030	amazonian_palm_or_ground_sloth_fruit	extinct_partner_support	1.0	0.25	0.25	24
T2C0030	amazonian_palm_or_ground_sloth_fruit	modern_failure_support	0.0	0.2	0.0	24
T2C0030	amazonian_palm_or_ground_sloth_fruit	morphology_support	1.0	0.25	0.25	24
T2C0030	amazonian_palm_or_ground_sloth_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	24
T2C0030	amazonian_palm_or_ground_sloth_fruit	penalty_source_singleton	1.0	-0.1	-0.1	24
T2C0030	amazonian_palm_or_ground_sloth_fruit	provenance_completeness	1.0	0.1	0.1	24
T2C0030	amazonian_palm_or_ground_sloth_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	24
T2C0010	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	25
T2C0010	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	25
T2C0010	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	25
T2C0010	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	25
T2C0010	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	25
T2C0010	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	25
T2C0010	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.5	0.2	0.1	25
T2C0031	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	26
T2C0031	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	26
T2C0031	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	26
T2C0031	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	26
T2C0031	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	26
T2C0031	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	26
T2C0031	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	26
T2C0008	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	27
T2C0008	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	27
T2C0008	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	27
T2C0008	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	27
T2C0008	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	27
T2C0008	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	27
T2C0008	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.5	0.2	0.1	27
T2C0014	new_zealand_moa_divarication	extinct_partner_support	1.0	0.25	0.25	28
T2C0014	new_zealand_moa_divarication	modern_failure_support	0.0	0.2	0.0	28
T2C0014	new_zealand_moa_divarication	morphology_support	1.0	0.25	0.25	28
T2C0014	new_zealand_moa_divarication	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	28
T2C0014	new_zealand_moa_divarication	penalty_source_singleton	1.0	-0.1	-0.1	28
T2C0014	new_zealand_moa_divarication	provenance_completeness	1.0	0.1	0.1	28
T2C0014	new_zealand_moa_divarication	spatiotemporal_compatibility	1.0	0.2	0.2	28
T2C0015	new_zealand_moa_divarication	extinct_partner_support	1.0	0.25	0.25	29
